hedge_fund,date,市值,加碼,減碼,XIRR
Yacktman Asset Management,2014-01-31,16595707838.490002,0.0,0.0,0.1
Yacktman Asset Management,2014-05-06,17466919788.920002,202600441.21,400272971.4399999,0.27101643936197056
Yacktman Asset Management,2014-08-04,17321032930.03,139060674.85,436190524.19,0.15112837451163896
Yacktman Asset Management,2014-11-04,32416920192.88,15444689444.650002,1231605322.2,0.17259109096850567
Yacktman Asset Management,2015-02-02,16900380561.62,1185172999.92,16351400826.14,0.0885462167535251
Yacktman Asset Management,2015-04-30,16251368714.270002,14070939.65,1079583617.29,0.09152972432003581
Yacktman Asset Management,2015-08-10,13869342191.720001,102615726.24,2062481702.8100002,0.06263055796500444
Yacktman Asset Management,2015-11-09,12245757777.54,12161488.540000001,1728022201.1799998,0.05890323534424617
Yacktman Asset Management,2016-02-04,9756157138.659998,5200955.6899999995,2166823525.88,0.04470270848101318
Yacktman Asset Management,2016-05-06,9608223355.86,9097427.840000002,783993320.26,0.058426919589396976
Yacktman Asset Management,2016-08-01,9366623531.590002,5140811.58,849357565.0,0.06984958459641269
Yacktman Asset Management,2016-11-01,8492182561.940001,1003604.7899999999,755193603.98,0.06351649333426213
Yacktman Asset Management,2017-01-31,8093026766.749997,88581.78000000001,602470230.8799999,0.06504904526846732
Yacktman Asset Management,2017-05-03,8142831980.129999,50700400.5,483247140.17,0.07208567012425011
Yacktman Asset Management,2017-08-03,8201171250.4,0.0,359209229.18,0.07716196708063472
Yacktman Asset Management,2017-11-03,8391418236.509999,16458391.64,61201447.21,0.07855409309326253
Yacktman Asset Management,2018-02-02,7994412408.09,693883.9999999999,826757577.8,0.08296404735038815
Yacktman Asset Management,2018-05-09,6953556005.37,16059806.479999999,452817583.38,0.07074629494405063
Yacktman Asset Management,2018-08-03,6564867650.609999,19380424.45,859395054.7499999,0.07594801002988216
Yacktman Asset Management,2018-11-08,6778760825.06,55878737.23999999,162405664.07999998,0.07871545343874581
Yacktman Asset Management,2019-02-04,6555691324.42,237627817.89000002,464062757.69,0.07703002794769784
Yacktman Asset Management,2019-05-02,7495916025.799998,17313583.8,604060313.97,0.09505002191873337
Yacktman Asset Management,2019-08-02,7496262548.380001,90133621.6,485872603.7699999,0.09763103521793183
Yacktman Asset Management,2019-11-05,7365387416.710001,480794874.4099999,719082799.05,0.09678567033027703
Yacktman Asset Management,2020-02-04,6947102944.480001,162921771.68,946922359.1899999,0.09883417939096704
Yacktman Asset Management,2020-05-04,5602848440.719999,620673588.4899999,878428197.8199999,0.08568853135209453
Yacktman Asset Management,2020-08-06,5571767971.449999,256265.35,854823334.5800002,0.09295927488817128
Yacktman Asset Management,2020-10-30,5542999648.96,192293651.19000003,45364493.36,0.09007854479889915
Yacktman Asset Management,2021-02-01,6897669594.44,295527217.12,429796796.99999994,0.10259145201526114
Yacktman Asset Management,2021-05-04,8396714848.639998,174141173.40999997,528174042.87,0.11604009759739028
Yacktman Asset Management,2021-08-03,8516762040.900002,398592090.25000006,266480422.29000002,0.11423959235734459
Yacktman Asset Management,2021-11-01,9091756599.920002,272806830.06,323847021.88,0.1170201267087682
Yacktman Asset Management,2022-02-02,9367117953.170002,59172527.9,264004172.91,0.11847681838248661
Yacktman Asset Management,2022-05-02,8752350492.08,73142898.56,454072515.09999996,0.11532041719261994
Yacktman Asset Management,2022-08-04,8398427890.45,16800299.92,138002919.92,0.11227438406896999
Yacktman Asset Management,2022-11-07,8892112895.78,561281934.5200001,716945605.8399999,0.11478851647851998
Yacktman Asset Management,2023-01-26,9097343259.169998,208110336.79999998,348810297.68,0.1155497139454471
Yacktman Asset Management,2023-05-08,9016162294.28,291062241.73,115054720.68000002,0.11252779294980922
Yacktman Asset Management,2023-08-08,9423754486.369999,30491587.590000007,110326838.13000001,0.11384236346214363
Yacktman Asset Management,2023-11-01,8632726172.109999,7121840.71,332960551.86,0.11009560246634668
Donald Smith,2014-02-07,4298109249.070001,0.0,0.0,0.1
Donald Smith,2014-05-14,4984936957.490001,14933829.22,208675605.51999998,1.0311706051200584
Donald Smith,2014-08-12,5007349706.78,889041278.18,1052670283.07,0.5576242058584191
Donald Smith,2014-11-07,4433477385.33,445991734.28999996,286124513.7900001,0.10937394723640911
Donald Smith,2015-02-03,4299217454.88,428106745.2,116492147.79999998,-0.027762196214479017
Donald Smith,2015-05-12,4554440438.110001,53659143.27,141597515.92,0.04356081201579525
Donald Smith,2015-08-12,3596868969.1400003,93543007.29,250355942.08,-0.09206781516233255
Donald Smith,2015-11-12,3133086086.48,185219956.03,173526074.57,-0.15002620565922498
Donald Smith,2016-02-09,2493131753.0799994,196404704.65,105545562.21000001,-0.23990233870389235
Donald Smith,2016-05-03,3058872720.6399994,39270470.730000004,221274781.81999996,-0.11796648274542446
Donald Smith,2016-08-11,2847863561.85,85470350.06,224682522.97000003,-0.11434558762743031
Donald Smith,2016-11-08,2945594010.4,107773880.06,69526926.77000001,-0.09918474880315666
Donald Smith,2017-02-09,3670504082.2699995,262749822.61999997,212487328.14,-0.030274816263525996
Donald Smith,2017-05-11,3300734584.2299995,48987636.5,268076891.27,-0.040133546927531585
Donald Smith,2017-08-11,3581120709.4600005,414184742.68000007,42694336.09,-0.04455018174132247
Donald Smith,2017-11-08,3720693992.1099997,96895622.25,252604426.11,-0.020829087958622417
Donald Smith,2018-02-13,3667680033.4699993,324785100.46,366153986.5400001,-0.02024287081680455
Donald Smith,2018-05-03,3746049613.89,155581328.43,326036870.0799999,-0.004401428597215536
Donald Smith,2018-08-09,3506005626.470001,185870325.47,310270018.8,-0.010593192523333057
Donald Smith,2018-11-09,3024856523.349999,74482866.17999999,102921530.43999998,-0.03560641219856446
Donald Smith,2019-02-08,2720116353.81,115960024.02999999,85707381.61,-0.05391036441831146
Donald Smith,2019-05-10,2260460891.8900003,6150765.919999999,433388523.99999994,-0.05361574892290104
Donald Smith,2019-08-12,2071572550.67,46377950.46,207609183.68,-0.0533695832199894
Donald Smith,2019-11-01,2045932122.9300003,190686483.34999996,157722424.19,-0.05531498441002795
Donald Smith,2020-02-10,1967846711.3100002,28547127.7,166647067.94,-0.0501283930252239
Donald Smith,2020-05-11,1463392962.8100007,79858154.74,80486171.10999998,-0.07863879043349717
Donald Smith,2020-08-13,1674530954.4,41527021.620000005,246425687.06,-0.052144271510234375
Donald Smith,2020-11-05,1473953097.8299997,67955638.98000002,269036397.25,-0.05101242939845228
Donald Smith,2021-02-10,1844247883.7899997,38271346.41999999,139293558.45,-0.026952612695061107
Donald Smith,2021-05-10,1998304049.9099998,25921587.23,268118263.80000004,-0.009842581218096877
Donald Smith,2021-08-10,1776356067.6299996,70968559.69,48881997.13,-0.019448159258551544
Donald Smith,2021-11-12,2048604696.9599993,92425928.76999998,47424741.89,-0.010097687971302928
Donald Smith,2022-02-07,2119165788.1399996,103497629.60999998,84026091.27,-0.008008563576641264
Donald Smith,2022-05-09,2024183816.9099996,121189130.87,319031015.69,-0.004177993137748392
Donald Smith,2022-08-12,2142530005.8499994,146234363.12,153422108.2,0.00016135477653557342
Donald Smith,2022-11-04,2175055890.37,36206377.580000006,45586682.41,0.001525639347833744
Donald Smith,2023-02-09,2462036073.8799996,126221515.98,190391734.45000002,0.01214423410414467
Donald Smith,2023-05-17,2299193828.6300006,96881869.11999997,128221457.42999999,0.008125520806178323
Donald Smith,2023-08-10,2565801524.7200003,67519651.08,97813304.4,0.016246576240647993
