hedge_fund,date,市值,加碼,減碼,XIRR
Yacktman Asset Management,2014-02-14,16934431097.87,0.0,0.0,0.0
Yacktman Asset Management,2014-05-15,17653211175.49,203872100.24,406782529.40000004,0.23978046792893612
Yacktman Asset Management,2014-08-14,17671457337.399998,142646892.55,444518040.0999999,0.15433622251175005
Yacktman Asset Management,2014-11-14,18040468298.789997,198901901.51999998,856254856.81,0.18558322337884495
Yacktman Asset Management,2015-02-17,17567461166.059998,312946021.7,1153558235.5800002,0.15857723484368796
Yacktman Asset Management,2015-05-15,16482996117.130001,14225685.61,1100654742.9299998,0.1286731171218259
Yacktman Asset Management,2015-08-14,13839417863.43,106005263.72,2045460946.1799998,0.08016868479991325
Yacktman Asset Management,2015-11-16,11865954245.83,12052084.68,1680343945.62,0.05954355775892124
Yacktman Asset Management,2016-02-16,9837389710.949999,5520696.0,2183720966.1,0.0587566846582011
Yacktman Asset Management,2016-05-16,9682146497.98,8532698.120000001,791055088.28,0.07294536649825656
Yacktman Asset Management,2016-08-15,9470000494.26,5236133.27,856137896.78,0.08523671865495976
Yacktman Asset Management,2016-11-14,8570908373.789999,1081088.13,745513150.19,0.07672146060842434
Yacktman Asset Management,2017-02-14,8220165990.93,90902.7,609859990.1499999,0.07896276072145346
Yacktman Asset Management,2017-05-15,8164957846.59,50047591.5,483718453.17,0.08372716069231081
Yacktman Asset Management,2017-08-14,8208336406.8,0.0,359502964.54999995,0.08844923193565231
Yacktman Asset Management,2017-11-14,8405872543.63,16585666.86,60924263.4,0.0896508099095492
Yacktman Asset Management,2018-02-14,7533550337.7300005,678652.3999999999,781953853.31,0.08479114109689136
Yacktman Asset Management,2018-05-15,7011124830.700001,16399848.73,449414311.82,0.08065251555633002
Yacktman Asset Management,2018-08-14,6547038676.34,19128611.93,883071565.39,0.08493740779490926
Yacktman Asset Management,2018-11-14,6778259513.49,54726847.03,161929160.83999997,0.08804249472054136
Yacktman Asset Management,2019-02-14,6589290375.41,234088877.30999997,468637105.64,0.08657964980195726
Yacktman Asset Management,2019-05-15,7363451780.58,16358902.500000004,590983374.79,0.10291921459885499
Yacktman Asset Management,2019-08-14,7363445643.709999,83962471.29,481446688.15999997,0.10556189339693801
