hedge_fund,date,¥«­È,¥[½X,´î½X,XIRR
Yacktman Asset Management,2014/2/14,16934431098,0,0,0
Yacktman Asset Management,2014/5/15,17653211175,203872100.2,493555891.5,0.264396472
Yacktman Asset Management,2014/8/14,17671457337,142646892.5,531042240.1,0.177227794
Yacktman Asset Management,2014/11/14,18040468299,200671638,893642352.8,0.204120552
Yacktman Asset Management,2015/2/17,17567461166,752342702.1,1336309359,0.156807079
Yacktman Asset Management,2015/5/15,16482996117,104507485.6,1101441833,0.12272785
Yacktman Asset Management,2015/8/14,13839417863,106005263.7,2240776171,0.082788387
Yacktman Asset Management,2015/11/16,11865954246,12521443.08,1854911323,0.06802674
Yacktman Asset Management,2016/2/16,9837389711,89564562.6,2184155071,0.063803395
Yacktman Asset Management,2016/5/16,9682146498,8532698.12,791689439.5,0.077654854
Yacktman Asset Management,2016/8/15,9470000494,5236133.27,856137896.8,0.089647235
Yacktman Asset Management,2016/11/14,8570908374,1343234.19,745513150.2,0.080901288
Yacktman Asset Management,2017/2/14,8220165991,2504875.5,644590170.2,0.083679924
Yacktman Asset Management,2017/5/15,8164957847,50047591.5,486204151.8,0.088287013
Yacktman Asset Management,2017/8/14,8208336407,125869363.8,359502964.6,0.090332655
Yacktman Asset Management,2017/11/14,8405872544,16855449.36,60924263.4,0.09146471
Yacktman Asset Management,2018/2/14,7533550338,1826022.11,935432456.5,0.089238289
Yacktman Asset Management,2018/5/15,7011124831,17417449.02,449414311.8,0.084980189
Yacktman Asset Management,2018/8/14,6547038676,20060561.93,984700429.3,0.090728095
Yacktman Asset Management,2018/11/14,6778259513,65069079.09,161929160.8,0.093498521
Yacktman Asset Management,2019/2/14,6589290375,258568727.7,468843695.6,0.091578119
Yacktman Asset Management,2019/5/15,7363451781,1078130178,591414602.8,0.093560453
Yacktman Asset Management,2019/8/14,7363445644,287596282.6,481446688.2,0.093925332
Yacktman Asset Management,2019/11/14,7400892023,493357244.9,723849059.5,0.095167323
Yacktman Asset Management,2020/2/14,7078820564,166993333.3,957264238.1,0.09866412
Yacktman Asset Management,2020/5/15,5516716416,830139824.3,875528649.5,0.078578691
Yacktman Asset Management,2020/8/14,5714245831,113661869.2,859954093.9,0.088545267
Yacktman Asset Management,2020/11/16,6426749930,226284970.6,81085143.92,0.093342876
Yacktman Asset Management,2021/2/16,7286944693,508588167.7,445324668,0.099880153
